Acompanhamentos 1;Acompanhamentos 2;Acompanhamentos 3;Acompanhamentos 4;Qty Acompanhamentos;Chave Participante;vencedor?;Faixa Etária;Ano Estréia;Cidade Origem;Data Saída;País Origem;Ocupação Agrupada;Gênero;Estado;Nome Participante;Idade;Ocupação;Resultado;Masterchef;Estréia Temporada;Fim Temporada;Qty Episódios;Qty Participantes;Obserção;Tipo Prato;Vegetariano;Nome Prato;Item Principal;Acompanhamentos;Participantes Finalistas;UF;Regiao
;;;;0;Gabriella Pálinkás3;0;Adultos;2016;São Paulo;3 de maio de 2016;Brasil;Engenheiro;Mulher;São Paulo;Gabriella Pálinkás;26;Engenheira química;5ª eliminada;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;SP;Sudeste
;;;;0;Larissa Douat2;0;Adultos;2015;Araguari;2 de junho de 2015;Brasil;Bacharel em relações internacionais;Mulher;Minas Gerais;Larissa Douat;26;Bacharel em relações internacionais;3ª eliminada;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;MG;Sudeste
;;;;0;Weverton Barreto6;0;Adultos;2019;Araguari;23 de junho de 2019;Brasil;Engenheiro;Homem;Minas Gerais;Weverton Barreto;30;Engenheiro civil;10º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;MG;Sudeste
macarrão;molho de limão e peixe;;;2;Helena Manosso1;0;Adultos;2014;São Paulo;16 de dezembro de 2014;Brasil;Engenheiro;Mulher;São Paulo;Helena Manosso;44;Engenheira química;2º lugar;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;Entrada;0;Salada de frutos do mar;Salada;macarrão, molho de limão e peixe;Helena Manosso;SP;Sudeste
;;;;0;André Boratto6;0;Adultos;2019;Brasília;9 de junho de 2019;Brasil;Servidora pública;Homem;Distrito Federal;André Boratto;42;Servidor público;9º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;DF;Centro-Oeste
;;;;0;Fábio Nunes3;0;Adultos;2016;Taquari;2 de agosto de 2016;Brasil;Modelo;Homem;Rio Grande do Sul;Fábio Nunes;30;Modelo;18º eliminado;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;RS;Sul
emulsão de bacuri;crocante de biju;;;2;Lorena Dayse6;0;Adultos;2019;Teresina;25 de agosto de 2019;Brasil;Enfermeira;Mulher;Piauí;Lorena Dayse;35;Enfermeira;2º lugar;6;24 de março de 2019;25 de agosto de 2019;22;19;;Entrada;0;Ravioli de vinho com caranguejo;Ravioli;emulsão de bacuri, crocante de biju;Lorena Dayse;PI;Nordeste
;;;;0;Eduardo Richard6;0;Adultos;2019;Curitiba;18 de agosto de 2019;Brasil;Advocacia;Homem;Paraná;Eduardo Richard;31;Advogado;18º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;PR;Sul
espuma;picles;compota de beterraba;;2;Bruna Chaves3;0;Adultos;2016;Belo Horizonte;23 de agosto de 2016;Brasil;Pedagogia;Mulher;Minas Gerais;Bruna Chaves;29;Professora;2º lugar;3;15 de março de 2016;23 de agosto de 2016;25;21;;Sobremesa;1;Torta gelada de beterraba;Torta gelada;espuma, picles, compota de beterraba;Bruna Chaves;MG;Sudeste
;;;;0;Kauê Pedroso5;0;Adultos;2018;São Paulo;17 de abril de 2018;Brasil;Professor;Homem;São Paulo;Kauê Pedroso;31;Arte educador;6º eliminado;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;SP;Sudeste
farofa de pistache;;;;1;Deborah Werneck4;0;Adultos;2017;Rio de Janeiro;22 de agosto de 2017;Brasil;Assessora de investimentos;Mulher;Rio de Janeiro;Deborah Werneck;30;Assessora de investimentos;2º lugar;4;7 de março de 2017;22 de agosto de 2017;25;21;;Sobremesa;1;Mil folhas de tangerina;Mil folhas;farofa de pistache;Deborah Werneck;RJ;Sudeste
;;;;0;Mirian Cobre4;0;Adultos;2017;São Paulo;25 de julho de 2017;Brasil;Dentista;Mulher;São Paulo;Mirian Cobre;57;Cirurgiã dentista;18ª eliminada;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;SP;Sudeste
;;;;0;Yukontorn Tappabutt (Yuko)4;0;Adultos;2017;Suphanburi;20 de junho de 2017;Tailândia;Pedagogia;Mulher;EX;Yukontorn Tappabutt (Yuko);31;Professora de idiomas e youtuber;13ª eliminada;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;EX;Exterior
caldo asiático;;;;1;Rodrigo Massoni6;1;Adultos;2019;Osasco;25 de agosto de 2019;Brasil;Engenheiro;Homem;São Paulo;Rodrigo Massoni;33;Engenheiro ambiental;Vencedor;6;24 de março de 2019;25 de agosto de 2019;22;19;;Entrada;0;Tortellini de Camarão;Tortellini;caldo asiático;Rodrigo Massoni;SP;Sudeste
;;;;0;Aderlize Martins4;0;Adultos;2017;Porto Alegre;27 de junho de 2017;Brasil;Designer;Mulher;Rio Grande do Sul;Aderlize Martins;38;Designer de jóias;14ª eliminada;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;RS;Sul
hortelã;baba de moça;;;2;Michele Crispim4;1;Adultos;2017;Palhoça;22 de agosto de 2017;Brasil;Gerente de varejo;Mulher;Santa Catarina;Michele Crispim;27;Gerente comercial;Vencedor;4;7 de março de 2017;22 de agosto de 2017;25;21;;Sobremesa;1;Tartar tropical;Tartar;hortelã, baba de moça;Michele Crispim;SC;Sul
;;;;0;Marcus Lima6;0;Adultos;2019;São Paulo;28 de abril de 2019;Brasil;Dentista;Homem;São Paulo;Marcus Lima;41;Cirurgião dentista;4º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;SP;Sudeste
;;;;0;Carla Correia2;0;Adultos;2015;São Paulo;21 de julho de 2015;Brasil;Consultor empresarial;Mulher;São Paulo;Carla Correia;52;Consultora em treinamento comportamental;10ª eliminada;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;SP;Sudeste
;;;;0;Livia Cathiard3;0;Adultos;2016;Rio de Janeiro;17 de maio de 2016;Brasil;Produtora executiva;Mulher;Rio de Janeiro;Livia Cathiard;27;Produtora;7ª eliminada;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;RJ;Sudeste
goiaba;goiabada;chantili de requeijão;;2;Elisa Fernandes1;1;Adultos;2014;Ribeirão Preto;16 de dezembro de 2014;Brasil;Produtora executiva;Mulher;São Paulo;Elisa Fernandes;24;Produtora executiva;Vencedor;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;Sobremesa;1;Creme ao limão siciliano;Creme;goiaba, goiabada, chantili de requeijão;Elisa Fernandes;SP;Sudeste
;;;;0;Gleice Simão3;0;Adultos;2016;São Paulo;21 de junho de 2016;Brasil;Estudante;Mulher;São Paulo;Gleice Simão;20;Estudante;11ª eliminada;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;SP;Sudeste
;;;;0;Gleice Simão3;0;Adultos;2016;São Paulo;24 de maio de 2016;Brasil;Estudante;Mulher;São Paulo;Gleice Simão;20;Estudante;8ª eliminada;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;SP;Sudeste
aspargos;couves de bruxelas;;;2;Elisa Fernandes1;1;Adultos;2014;Ribeirão Preto;16 de dezembro de 2014;Brasil;Produtora executiva;Mulher;São Paulo;Elisa Fernandes;24;Produtora executiva;Vencedor;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;Entrada;0;Ovo poché;Ovo;aspargos, couves de bruxelas;Elisa Fernandes;SP;Sudeste
;;;;0;Natália Clementin4;0;Adultos;2017;São José do Rio Preto;18 de abril de 2017;Brasil;Jornalista;Mulher;São Paulo;Natália Clementin;31;Jornalista e blogueira;4ª eliminada;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;SP;Sudeste
;;;;0;Raquel Novais3;0;Adultos;2016;Belo Horizonte;16 de agosto de 2016;Brasil;Empresário;Mulher;Minas Gerais;Raquel Novais;33;Empresária;20ª eliminada;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;MG;Sudeste
;;;;0;Rosana Gammaro6;0;Idosos;2019;São Paulo;21 de abril de 2019;Brasil;Consultor empresarial;Mulher;São Paulo;Rosana Gammaro;62;Consultora de RH;3ª eliminada;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;SP;Sudeste
;;;;0;Marcos Baldassari2;0;Adultos;2015;São Paulo;28 de julho de 2015;Brasil;Administração;Homem;São Paulo;Marcos Baldassari;34;Administrador;11º eliminado;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;SP;Sudeste
;;;;0;Fernando Cavinato3;0;Adultos;2016;São Paulo;5 de julho de 2016;Brasil;Analista;Homem;São Paulo;Fernando Cavinato;31;Analista de controladoria;13º eliminado;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;SP;Sudeste
;;;;0;Fernando Cavinato3;0;Adultos;2016;São Paulo;12 de abril de 2016;Brasil;Analista;Homem;São Paulo;Fernando Cavinato;31;Analista de controladoria;2º eliminado;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;SP;Sudeste
;;;;0;Carlos Augusto6;0;Adultos;2019;Boston;14 de abril de 2019;Estados Unidos;Analista;Homem;EX;Carlos Augusto;41;Analista de TI;2º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;EX;Exterior
;;;;0;Cristiano Oliveira2;0;Adultos;2015;Porto Seguro;1 de setembro de 2015;Brasil;Agente de trânsito;Homem;Bahia;Cristiano Oliveira;37;Agente de trânsito;16º eliminado;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;BA;Nordeste
farofa de bacon;chips de mandioquinha;;;2;Deborah Werneck4;0;Adultos;2017;Rio de Janeiro;22 de agosto de 2017;Brasil;Assessora de investimentos;Mulher;Rio de Janeiro;Deborah Werneck;30;Assessora de investimentos;2º lugar;4;7 de março de 2017;22 de agosto de 2017;25;21;;Entrada;0;Vieiras e aioli de azedinha;Vieira;farofa de bacon, chips de mandioquinha;Deborah Werneck;RJ;Sudeste
;;;;0;Sandra Matarazzo1;0;Adultos;2014;São Paulo;4 de novembro de 2014;Brasil;Blogueira;Mulher;São Paulo;Sandra Matarazzo;30;Blogueira;7ª eliminada;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;SP;Sudeste
;;;;0;Sandra Matarazzo1;0;Adultos;2014;São Paulo;30 de setembro de 2014;Brasil;Blogueira;Mulher;São Paulo;Sandra Matarazzo;30;Blogueira;3ª eliminada;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;SP;Sudeste
ovas de massago;broto de rúcula;vinagrete de cebolinha;;2;Leonardo Young3;1;Adultos;2016;São Paulo;23 de agosto de 2016;Brasil;Empresário;Homem;São Paulo;Leonardo Young;30;Empresário;Vencedor;3;15 de março de 2016;23 de agosto de 2016;25;21;;Entrada;0;Carpaccio de vieiras e rabanete;Vieira;ovas de massago, broto de rúcula, vinagrete de cebolinha;Leonardo Young;SP;Sudeste
ovo mollet;trufas;torrada;;2;Maria Antônia Russi5;1;Adultos;2018;Porto Alegre;31 de julho de 2018;Brasil;Sommelier;Mulher;Rio Grande do Sul;Maria Antônia Russi;36;Sommelier;Vencedor;5;6 de março de 2018;31 de julho de 2018;22;21;;Entrada;1;Ragu de cogumelos;Cogumelos;ovo mollet, trufas, torrada;Maria Antônia Russi;RS;Sul
;;;;0;Taise Spolti4;0;Adultos;2017;Taquara;6 de junho de 2017;Brasil;Educação física;Mulher;Rio Grande do Sul;Taise Spolti;27;Personal trainer;11ª eliminada;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;RS;Sul
cenoura;pistaches;;;2;Raul Lemos2;0;Adultos;2015;Santos;15 de setembro de 2015;Brasil;Publicitário;Homem;São Paulo;Raul Lemos;34;Publicitário;2º lugar;2;19 de maio de 2015;15 de setembro de 2015;18;18;;Sobremesa;1;Pudim de leite com cenoura;Pudim de leite;cenoura, pistaches;Raul Lemos;SP;Sudeste
;;;;0;Evandro Zanardo5;0;Adultos;2018;Tietê;3 de julho de 2018;Brasil;Padre;Homem;São Paulo;Evandro Zanardo;40;Padre;16º eliminado;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;SP;Sudeste
;;;;0;Tereza Amorim5;0;Adultos;2018;Recife;27 de março de 2018;Brasil;Estudante;Mulher;Pernambuco;Tereza Amorim;21;Estudante de Direito;2ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;PE;Nordeste
;;;;0;Cecília Padilha1;0;Adultos;2014;Rio de Janeiro;2 de dezembro de 2014;Brasil;Administração;Mulher;Rio de Janeiro;Cecília Padilha;31;Administradora de empresas;11ª eliminada;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;RJ;Sudeste
;;;;0;Bianca Bertolaccini1;0;Adultos;2014;Mauá;15 de outubro de 2014;Brasil;Atriz;Mulher;São Paulo;Bianca Bertolaccini;36;Atriz;5ª eliminada;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;SP;Sudeste
arroz;molho de tikka masala;;;2;Raul Lemos2;0;Adultos;2015;Santos;15 de setembro de 2015;Brasil;Publicitário;Homem;São Paulo;Raul Lemos;34;Publicitário;2º lugar;2;19 de maio de 2015;15 de setembro de 2015;18;18;;Principal;0;Camarão com molho de tikka masala;Camarão;arroz, molho de tikka masala;Raul Lemos;SP;Sudeste
;;;;0;Thiago Gatto5;0;Adultos;2018;Rio de Janeiro;17 de julho de 2018;Brasil;Major da PMERJ;Homem;Rio de Janeiro;Thiago Gatto;35;Major da PMERJ;18º eliminado;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;RJ;Sudeste
;;;;0;Mohamad Hindi Neto1;0;Adultos;2014;São Bernardo do Campo;11 de dezembro de 2014;Brasil;Empresário;Homem;São Paulo;Mohamad Hindi Neto;27;Empresário;13º eliminado;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;SP;Sudeste
;;;;0;Rui Morschel5;0;Adultos;2018;Curitiba;12 de junho de 2018;Brasil;Engenheiro;Homem;Paraná;Rui Morschel;26;Engenheiro de produção;13º eliminado;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;PR;Sul
;;;;0;Carlos Oliva5;0;Adultos;2018;São Paulo;24 de abril de 2018;Brasil;Empresário;Homem;São Paulo;Carlos Oliva;53;Empresário;Desistente;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;SP;Sudeste
;;;;0;Jamyly Monard1;0;Adultos;2014;Macapá;18 de novembro de 2014;Brasil;Estudante;Mulher;Amapá;Jamyly Monard;22;Estudante;9ª eliminada;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;AP;Norte
;;;;0;Aristeu Guimarães5;0;Adultos;2018;Imperatriz;15 de maio de 2018;Brasil;Servidora pública;Homem;Maranhão;Aristeu Guimarães;33;Servidor público;10º eliminado;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;MA;Nordeste
;;;;0;Brissa Ioselli5;0;Adultos;2018;Mogi das Cruzes;3 de abril de 2018;Brasil;Advocacia;Mulher;São Paulo;Brissa Ioselli;28;Advogada;3ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;SP;Sudeste
;;;;0;Luis Lima1;0;Adultos;2014;Teresina;16 de dezembro de 2014;Brasil;Analista;Homem;Piauí;Luis Lima;31;Analista judiciário;14º eliminado;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;PI;Nordeste
;;;;0;Flávio Takemoto1;0;Adultos;2014;São Paulo;25 de novembro de 2014;Brasil;Motion designer;Homem;São Paulo;Flávio Takemoto;29;Motion designer;10º eliminado;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;SP;Sudeste
purê de alho poró com pupunha;crispy de alho poró;molho de vinho;;2;Michele Crispim4;1;Adultos;2017;Palhoça;22 de agosto de 2017;Brasil;Gerente de varejo;Mulher;Santa Catarina;Michele Crispim;27;Gerente comercial;Vencedor;4;7 de março de 2017;22 de agosto de 2017;25;21;;Principal;0;Cupim recheado de pupunha ao molho de vinho;Cupim;purê de alho poró com pupunha, crispy de alho poró, molho de vinho;Michele Crispim;SC;Sul
;;;;0;Ana Luíza Amaral5;0;Adultos;2018;Agudos;5 de junho de 2018;Brasil;Auxiliar de escritório;Mulher;São Paulo;Ana Luíza Amaral;25;Auxiliar de escritório;12ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;SP;Sudeste
;;;;0;Ana Luíza Amaral5;0;Adultos;2018;Agudos;1 de maio de 2018;Brasil;Auxiliar de escritório;Mulher;São Paulo;Ana Luíza Amaral;25;Auxiliar de escritório;8ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;SP;Sudeste
;;;;0;Caroline Martins4;0;Adultos;2017;Barretos;2 de maio de 2017;Brasil;Pesquisador;Mulher;São Paulo;Caroline Martins;31;Pesquisadora de energia nuclear;6ª eliminada;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;SP;Sudeste
farofa de gergelim;;;;1;Rodrigo Massoni6;1;Adultos;2019;Osasco;25 de agosto de 2019;Brasil;Engenheiro;Homem;São Paulo;Rodrigo Massoni;33;Engenheiro ambiental;Vencedor;6;24 de março de 2019;25 de agosto de 2019;22;19;;Sobremesa;1;Sorvete de coco, gengibre e limão;Sorvete;farofa de gergelim;Rodrigo Massoni;SP;Sudeste
;;;;0;Clarisse Duarte5;0;Adultos;2018;Belém;8 de maio de 2018;Brasil;Produtora executiva;Mulher;Alagoas;Clarisse Duarte;27;Produtora;9ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;AL;Nordeste
;;;;0;Clarisse Duarte5;0;Adultos;2018;Belém;8 de maio de 2018;Brasil;Produtora executiva;Mulher;Paraíba;Clarisse Duarte;27;Produtora;9ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;PB;Nordeste
;;;;0;Clarisse Duarte5;0;Adultos;2018;Belém;8 de maio de 2018;Brasil;Produtora executiva;Mulher;Pará;Clarisse Duarte;27;Produtora;9ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;PA;Norte
;;;;0;Haila Santuá6;0;Adultos;2019;Chapadão do Céu;4 de agosto de 2019;Brasil;Publicitário;Mulher;Goiás;Haila Santuá;25;Publicitária;16ª eliminada;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;GO;Centro-Oeste
;;;;0;Imaculada Soares6;0;Adultos;2019;São Paulo;7 de abril de 2019;Brasil;Gerente de varejo;Mulher;São Paulo;Imaculada Soares;47;Gerente de vendas;1ª eliminada;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;SP;Sudeste
;;;;0;Thaiana Wosniak3;0;Adultos;2016;Guarapuava;28 de junho de 2016;Brasil;Advocacia;Mulher;Paraná;Thaiana Wosniak;31;Advogada e locutora;12ª eliminada;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;PR;Sul
;;;;0;Juliana Fraga6;0;Adultos;2019;Florianópolis;12 de maio de 2019;Brasil;Analista;Mulher;Santa Catarina;Juliana Fraga;35;Analista de marketing;6ª eliminada;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;SC;Sul
;;;;0;Lee Fu Kuang3;0;Adultos;2016;Taipé;26 de julho de 2016;Taiwan;Motorista;Homem;EX;Lee Fu Kuang;56;Médico e pesquisador;17º eliminado;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;EX;Exterior
;;;;0;Guilherme Joventino3;0;Adultos;2016;Belo Horizonte;17 de maio de 2016;Brasil;Diretor;Homem;Minas Gerais;Guilherme Joventino;37;Diretor comercial;Desistente;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;MG;Sudeste
vinagrete de feijão-manteiguinha de santarém;molho agridoce;;;2;Rodrigo Massoni6;1;Adultos;2019;Osasco;25 de agosto de 2019;Brasil;Engenheiro;Homem;São Paulo;Rodrigo Massoni;33;Engenheiro ambiental;Vencedor;6;24 de março de 2019;25 de agosto de 2019;22;19;;Principal;0;Barriga de porco ao molho agridoce;Porco;vinagrete de feijão-manteiguinha de santarém, molho agridoce;Rodrigo Massoni;SP;Sudeste
chuchu laminado;farofa de castanha;molho chutney;;2;Deborah Werneck4;0;Adultos;2017;Rio de Janeiro;22 de agosto de 2017;Brasil;Assessora de investimentos;Mulher;Rio de Janeiro;Deborah Werneck;30;Assessora de investimentos;2º lugar;4;7 de março de 2017;22 de agosto de 2017;25;21;;Principal;0;Lagosta e chuchu laminado;Lagosta;chuchu laminado, farofa de castanha, molho chutney;Deborah Werneck;RJ;Sudeste
;;;;0;Lucio Manosso1;0;Adultos;2014;São Paulo;21 de outubro de 2014;Brasil;Engenheiro;Homem;São Paulo;Lucio Manosso;47;Engenheiro químico;Desistente;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;SP;Sudeste
;;;;0;Sabrina Kanai2;0;Adultos;2015;Rio de Janeiro;11 de agosto de 2015;Brasil;Empresário;Mulher;Rio de Janeiro;Sabrina Kanai;29;Microempresária;13ª eliminada;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;RJ;Sudeste
;;;;0;Katleen Lacerda5;0;Adultos;2018;Ituiutaba;10 de julho de 2018;Brasil;Pedagogia;Mulher;Minas Gerais;Katleen Lacerda;24;Professora de literatura;17ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;MG;Sudeste
costelinha de porco desfiada;geleia de goiabada;;;4;Izabel Alvares2;1;Adultos;2015;Rio de Janeiro;15 de setembro de 2015;Brasil;Produtora executiva;Mulher;Rio de Janeiro;Izabel Alvares;31;Produtora de eventos;Vencedor;2;19 de maio de 2015;15 de setembro de 2015;18;18;;Entrada;0;Pão de queijo com costelinha de porco;Pão de queijo;costelinha de porco desfiada, geleia de goiabada;Izabel Alvares;RJ;Sudeste
costelinha de porco desfiada;geleia de goiabada;;;4;Izabel Alvares2;0;Adultos;2015;Rio de Janeiro;23 de junho de 2015;Brasil;Produtora executiva;Mulher;Rio de Janeiro;Izabel Alvares;31;Produtora de eventos;6ª eliminada;2;19 de maio de 2015;15 de setembro de 2015;18;18;;Entrada;0;Pão de queijo com costelinha de porco;Pão de queijo;costelinha de porco desfiada, geleia de goiabada;Izabel Alvares;RJ;Sudeste
