Acompanhamentos 1;Acompanhamentos 2;Acompanhamentos 3;Acompanhamentos 4;Qty Acompanhamentos;Chave Participante;vencedor?;Faixa Etária;Ano Estréia;Cidade Origem;Data Saída;País Origem;Ocupação Agrupada;Gênero;Estado;Nome Participante;Idade;Ocupação;Resultado;Masterchef;Estréia Temporada;Fim Temporada;Qty Episódios;Qty Participantes;Obserção;Tipo Prato;Vegetariano;Nome Prato;Item Principal;Acompanhamentos;Participantes Finalistas;UF;Regiao
;;;;0;Rodrigo Domingues (Tenente)3;0;Adultos;2016;São Paulo;26 de abril de 2016;Brasil;Gerente de varejo;Homem;São Paulo;Rodrigo Domingues (Tenente);35;Gerente de produto;4º eliminado;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;SP;Sudeste
sorvete de mascarpone;calda de chocolate;;;2;Maria Antônia Russi5;1;Adultos;2018;Porto Alegre;31 de julho de 2018;Brasil;Sommelier;Mulher;Rio Grande do Sul;Maria Antônia Russi;36;Sommelier;Vencedor;5;6 de março de 2018;31 de julho de 2018;22;21;;Sobremesa;1;Biscoito Champanhe;Biscoito;sorvete de mascarpone, calda de chocolate;Maria Antônia Russi;RS;Sul
;;;;0;Lucas Furtado2;0;Adultos;2015;São Roque;18 de agosto de 2015;Brasil;Estudante;Homem;São Paulo;Lucas Furtado;24;Estudante;14º eliminado;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;SP;Sudeste
;;;;0;Rodrigo Silva3;0;Adultos;2016;Rio de Janeiro;7 de junho de 2016;Brasil;Policial;Homem;Rio de Janeiro;Rodrigo Silva;34;Policial;9º eliminado;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;RJ;Sudeste
cenouras glaceadas;cebola grelhada;bok choy (acelga chinesa);molho de missô;2;Leonardo Young3;1;Adultos;2016;São Paulo;23 de agosto de 2016;Brasil;Empresário;Homem;São Paulo;Leonardo Young;30;Empresário;Vencedor;3;15 de março de 2016;23 de agosto de 2016;25;21;;Principal;0;Barriga de porco ao molho de missô;Porco;cenouras glaceadas, cebola grelhada, bok choy (acelga chinesa), molho de missô;Leonardo Young;SP;Sudeste
;;;;0;Gustavo Bicalho2;0;Adultos;2015;Belo Horizonte;30 de junho de 2015;Brasil;Advocacia;Homem;Minas Gerais;Gustavo Bicalho;26;Advogado;7º eliminado;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;MG;Sudeste
sorvete de cumaru;;;;2;Hugo Merchan5;0;Adultos;2018;Marília;31 de julho de 2018;Brasil;Dentista;Homem;São Paulo;Hugo Merchan;25;Cirurgião dentista;2º lugar;5;6 de março de 2018;31 de julho de 2018;22;21;;Sobremesa;1;Torta de maçã;Torta;sorvete de cumaru;Hugo Merchan;SP;Sudeste
sorvete de cumaru;;;;2;Hugo Merchan5;0;Adultos;2018;Marília;22 de maio de 2018;Brasil;Dentista;Homem;São Paulo;Hugo Merchan;25;Cirurgião dentista;11º eliminado;5;6 de março de 2018;31 de julho de 2018;22;21;;Sobremesa;1;Torta de maçã;Torta;sorvete de cumaru;Hugo Merchan;SP;Sudeste
;;;;0;Pedro Lima3;0;Adultos;2016;Teresópolis;6 de julho de 2016;Brasil;Consultor empresarial;Homem;Rio de Janeiro;Pedro Lima;27;Consultor empresarial;14º eliminado;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;RJ;Sudeste
gema confitada;chips de batata laranja;ovas de salmão;maionese cítrica;2;Bruna Chaves3;0;Adultos;2016;Belo Horizonte;23 de agosto de 2016;Brasil;Pedagogia;Mulher;Minas Gerais;Bruna Chaves;29;Professora;2º lugar;3;15 de março de 2016;23 de agosto de 2016;25;21;;Entrada;0;Vieiras seladas na maionese cítrica;Vieira;gema confitada, chips de batata laranja, ovas de salmão, maionese cítrica;Bruna Chaves;MG;Sudeste
